test_market,pnl_with_skew,pnl_without_skew,pnl_diff,fills_with_skew,fills_without_skew
20260106_1630,0.0,0.0,0.0,0,0
20260106_1645,0.0,0.0,0.0,0,0
20260106_1700,-0.15499999999999994,-0.15499999999999994,0.0,8,8
20260106_1715,-1.32,-1.32,0.0,9,9
20260106_1730,-0.9849999999999998,-0.9849999999999998,0.0,8,8
20260106_1745,0.36000000000000076,0.36000000000000076,0.0,20,20
20260106_1800,0.8000000000000006,0.8999999999999994,-0.09999999999999876,22,28
20260106_1815,2.495,2.495,0.0,13,13
20260106_1830,-0.31999999999999995,-0.31999999999999995,0.0,11,11
20260106_1845,0.9800000000000002,0.9800000000000002,0.0,7,7
20260106_1900,-0.3449999999999998,-0.3449999999999998,0.0,7,7
20260106_1915,0.16500000000000012,0.16500000000000012,0.0,7,7
