strategy,spread_min,tau_min,tau_max,inventory_limit_up,inventory_limit_down,tau_flatten,two_sided,quote_size,adverse_selection_filter,place_latency_ms,cancel_latency_ms,touch_trade_rate,total_pnl,mean_pnl_per_market,t_stat,hit_rate,n_fills,fill_rate,spread_captured,adverse_selection,inventory_carry,orders_placed,avg_time_to_fill
SpreadCapture,0.01,60,600,10.0,10.0,60,True,1.0,True,0,0,0.1,12.340000000000003,1.0283333333333335,0.9769182401292092,0.5833333333333334,436,0.04638297872340426,2.615000000000001,-4.515000000000001,5.209999999999998,9400,5.0963302752293576
SpreadCapture,0.01,60,600,10.0,10.0,60,True,1.0,True,100,50,0.1,12.340000000000003,1.0283333333333335,0.9769182401292092,0.5833333333333334,436,0.04638297872340426,2.615000000000001,-4.515000000000001,5.209999999999998,9400,4.0963302752293576
SpreadCapture,0.01,120,600,10.0,10.0,60,True,1.0,True,0,0,0.1,13.675000000000004,1.1395833333333336,1.0912738475126418,0.5833333333333334,400,0.04692632566870014,2.3900000000000015,-4.385000000000002,6.9,8524,5.135
SpreadCapture,0.01,120,600,10.0,10.0,60,True,1.0,True,100,50,0.1,13.675000000000004,1.1395833333333336,1.0912738475126418,0.5833333333333334,400,0.04692632566870014,2.3900000000000015,-4.385000000000002,6.9,8524,4.135
SpreadCapture,0.015,60,600,10.0,10.0,60,True,1.0,True,0,0,0.1,-4.69,-0.3908333333333333,-1.3413310418164177,0.16666666666666666,33,0.008518327310273618,0.25000000000000006,-0.7200000000000004,-5.66,3874,2.393939393939394
SpreadCapture,0.015,60,600,10.0,10.0,60,True,1.0,True,100,50,0.1,-4.69,-0.3908333333333333,-1.3413310418164177,0.16666666666666666,33,0.008518327310273618,0.25000000000000006,-0.7200000000000004,-5.66,3874,1.393939393939394
SpreadCapture,0.015,120,600,10.0,10.0,60,True,1.0,True,0,0,0.1,-3.715,-0.3095833333333333,-1.1129773376581749,0.16666666666666666,29,0.008316604531115572,0.22500000000000003,-0.5600000000000003,-4.5,3487,2.206896551724138
SpreadCapture,0.015,120,600,10.0,10.0,60,True,1.0,True,100,50,0.1,-3.715,-0.3095833333333333,-1.1129773376581749,0.16666666666666666,29,0.008316604531115572,0.22500000000000003,-0.5600000000000003,-4.5,3487,1.206896551724138
SpreadCapture,0.02,60,600,10.0,10.0,60,True,1.0,True,0,0,0.1,-1.8099999999999998,-0.15083333333333332,-0.5906234322375308,0.25,26,0.008864643709512444,0.19000000000000014,-0.5100000000000005,-2.5100000000000007,2933,2.3846153846153846
SpreadCapture,0.02,60,600,10.0,10.0,60,True,1.0,True,100,50,0.1,-1.8099999999999998,-0.15083333333333332,-0.5906234322375308,0.25,26,0.008864643709512444,0.19000000000000014,-0.5100000000000005,-2.5100000000000007,2933,1.3846153846153846
SpreadCapture,0.02,120,600,10.0,10.0,60,True,1.0,True,0,0,0.1,-0.8349999999999997,-0.06958333333333332,-0.281337119249955,0.3333333333333333,22,0.008333333333333333,0.16500000000000012,-0.3500000000000004,-1.3500000000000003,2640,2.1363636363636362
SpreadCapture,0.02,120,600,10.0,10.0,60,True,1.0,True,100,50,0.1,-0.8349999999999997,-0.06958333333333332,-0.281337119249955,0.3333333333333333,22,0.008333333333333333,0.16500000000000012,-0.3500000000000004,-1.3500000000000003,2640,1.1363636363636365
