strategy,tau_max,hold_to_expiry,hold_seconds,latency,threshold_bps,train_total_pnl_mean,train_total_pnl_std,train_t_stat_mean,train_t_stat_std,train_n_trades_sum,test_total_pnl_mean,test_total_pnl_std,test_t_stat_mean,test_t_stat_std,test_n_trades_sum,n_folds,test_pnl_se,wf_t_stat
LatencyCapture,900,,15.0,0,3.0,0.026666666666667144,0.10692676621563636,0.06069716894827488,0.4986814876887009,49,-0.03333333333333321,0.18556220879622382,-0.6021407054271285,1.3689947437204362,10,3,0.10713439119992137,-0.3111356956435262
LatencyCapture,900,,15.0,0,5.0,0.23333333333333342,0.0635085296108589,1.2279997583129598,0.30755004052171975,18,0.030000000000000027,0.05196152422706637,0.3333333333333333,0.5773502691896258,1,3,0.03000000000000003,0.9999999999999999
LatencyCapture,900,,15.0,0,10.0,0.17000000000000004,0.0,1.0000000000000002,0.0,6,0.0,0.0,0.0,0.0,0,3,0.0,0.0
LatencyCapture,900,,15.0,2,3.0,-0.0033333333333329662,0.16289055630494162,-0.030532257517977168,0.7661198934227571,49,-0.023333333333333216,0.16862186493255665,-0.7295004844495566,1.65021104228142,10,3,0.0973538791100683,-0.23967543508926387
LatencyCapture,900,,15.0,2,5.0,0.23333333333333348,0.09814954576223643,1.2011584004683444,0.47064385672969083,18,0.040000000000000036,0.06928203230275515,0.3333333333333333,0.5773502691896258,1,3,0.040000000000000036,1.0
LatencyCapture,900,,15.0,2,10.0,0.17000000000000004,0.0,1.0000000000000002,0.0,6,0.0,0.0,0.0,0.0,0,3,0.0,0.0
LatencyCapture,900,,15.0,5,3.0,-0.019999999999999563,0.14933184523068085,-0.13853197541471043,0.8047260428644659,49,-0.006666666666666543,0.14468356276140487,-0.7415166409236295,1.4491405618199888,10,3,0.08353309390761122,-0.07980868844676063
LatencyCapture,900,,15.0,5,5.0,0.13666666666666677,0.10969655114602893,1.0056614504798203,0.7936060367410884,18,0.040000000000000036,0.06928203230275515,0.3333333333333333,0.5773502691896258,1,3,0.040000000000000036,1.0
LatencyCapture,900,,15.0,5,10.0,0.17000000000000004,0.0,1.0000000000000002,0.0,6,0.0,0.0,0.0,0.0,0,3,0.0,0.0
StrikeCross,120,True,,0,,-0.14999999999999997,0.18248287590894655,-1.2550150720812185,0.44169906154051014,19,-0.16999999999999996,0.1808314132002512,-0.81520275798576,0.7403096216621048,11,3,0.10440306508910548,-1.6283046848759573
StrikeCross,120,True,,2,,-0.16,0.14177446878757827,-1.2731162977286352,0.4730513040411042,19,-0.16666666666666666,0.16041612554021287,-0.78732327840812,0.7054530451742129,11,3,0.09261629326299871,-1.799539376871736
StrikeCross,120,True,,5,,-0.13333333333333333,0.1537313674346694,-1.2550150720812185,0.4416990615405101,19,-0.15333333333333332,0.1550268793897798,-0.81520275798576,0.7403096216621048,11,3,0.08950481054731702,-1.7131295222648748
StrikeCross,300,True,,0,,0.7200000000000003,0.6121274377121155,0.8705900017000636,0.7710403738012463,52,-0.1333333333333332,0.28746014216467175,-0.4868845639955078,0.8887420053076374,18,3,0.16596519046006133,-0.8033813172733903
StrikeCross,300,True,,2,,0.6466666666666668,0.5150080905513359,0.7768680186587985,0.6695311982022334,52,-0.14666666666666656,0.26633312473917564,-0.5228896357287487,0.826379391735502,18,3,0.15376750126227726,-0.9538209664765314
StrikeCross,300,True,,5,,0.7333333333333335,0.5453744890745561,0.9400332863870644,0.7568806587751369,52,-0.08999999999999997,0.3223352292257239,-0.4541058246186707,0.9455164473163777,18,3,0.18610033136277143,-0.48361010075022404
StrikeCross,600,True,,0,,1.7400000000000009,1.0412972678346946,1.420031356114534,0.8824352290436855,116,0.266666666666667,0.6351640208114228,0.110603706158319,1.6155271046873791,44,3,0.36671211839504003,0.7271825862580324
StrikeCross,600,True,,2,,1.7266666666666672,0.9850042301093598,1.42858084047951,0.866581222349431,116,0.2300000000000003,0.5765414122159831,0.09024258885746066,1.6818823397245033,44,3,0.33286633954186484,0.6909680333450269
StrikeCross,600,True,,5,,1.6800000000000004,0.9599999999999996,1.455302802877578,0.8522009871164125,116,0.3066666666666668,0.6606310114832132,0.1209458241129721,1.725638977964229,44,3,0.38141549231484795,0.8040225760245784
