fold,strategy,tau_max,hold_to_expiry,hold_seconds,latency,train_total_pnl,train_mean_pnl,train_t_stat,train_n_trades,test_total_pnl,test_mean_pnl,test_t_stat,test_n_trades,threshold_bps
0,StrikeCross,120,True,,0,-0.05999999999999996,-0.005999999999999997,-1.7650452162436558,10,0.0,0.0,0.0,0,
0,StrikeCross,120,True,,2,-0.10999999999999996,-0.010999999999999996,-1.819348893185905,10,0.0,0.0,0.0,0,
0,StrikeCross,120,True,,5,-0.06,-0.006,-1.7650452162436556,10,0.0,0.0,0.0,0,
0,StrikeCross,300,True,,0,1.3900000000000001,0.139,1.7145981533593884,21,-0.22999999999999965,-0.05749999999999991,-1.0,6,
0,StrikeCross,300,True,,2,1.21,0.121,1.5155420305256493,21,-0.2799999999999997,-0.06999999999999992,-1.0,6,
0,StrikeCross,300,True,,5,1.29,0.129,1.7326409145799093,21,-0.23999999999999988,-0.05999999999999997,-0.9999999999999999,6,
0,StrikeCross,600,True,,0,2.8100000000000005,0.281,2.3461151066578725,47,0.36000000000000054,0.09000000000000014,0.3712589915375852,13,
0,StrikeCross,600,True,,2,2.71,0.271,2.3271449394178974,47,0.3300000000000005,0.08250000000000013,0.3444296134145544,13,
0,StrikeCross,600,True,,5,2.64,0.264,2.3267564299601653,47,0.34000000000000025,0.08500000000000006,0.3831122716604111,13,
0,LatencyCapture,900,,15.0,0,-0.08999999999999964,-0.008999999999999963,-0.490584844446428,15,0.16000000000000023,0.040000000000000056,0.9217144471710834,5,3.0
0,LatencyCapture,900,,15.0,2,-0.18999999999999972,-0.018999999999999972,-0.9024909124636471,15,0.1700000000000003,0.04250000000000007,1.1759145885723277,5,3.0
0,LatencyCapture,900,,15.0,5,-0.18999999999999964,-0.018999999999999965,-1.0496329833787321,15,0.1600000000000003,0.04000000000000008,0.9217144471710835,5,3.0
0,LatencyCapture,900,,15.0,0,0.16000000000000003,0.016000000000000004,0.8728715609439697,6,0.09000000000000008,0.02250000000000002,1.0,1,5.0
0,LatencyCapture,900,,15.0,2,0.12000000000000005,0.012000000000000005,0.657705685717683,6,0.1200000000000001,0.030000000000000027,1.0,1,5.0
0,LatencyCapture,900,,15.0,5,0.010000000000000064,0.0010000000000000065,0.08928413259386123,6,0.1200000000000001,0.030000000000000027,1.0,1,5.0
0,LatencyCapture,900,,15.0,0,0.17000000000000004,0.017000000000000005,1.0000000000000002,2,0.0,0.0,0.0,0,10.0
0,LatencyCapture,900,,15.0,2,0.17000000000000004,0.017000000000000005,1.0000000000000002,2,0.0,0.0,0.0,0,10.0
0,LatencyCapture,900,,15.0,5,0.17000000000000004,0.017000000000000005,1.0000000000000002,2,0.0,0.0,0.0,0,10.0
1,StrikeCross,120,True,,0,-0.03,-0.003,-1.0000000000000002,6,-0.35999999999999993,-0.08999999999999998,-1.0,3,
1,StrikeCross,120,True,,2,-0.04999999999999999,-0.004999999999999999,-1.0000000000000002,6,-0.32,-0.08,-1.0,3,
1,StrikeCross,120,True,,5,-0.030000000000000027,-0.0030000000000000027,-1.0,6,-0.31,-0.0775,-1.0,3,
1,StrikeCross,300,True,,0,0.5800000000000004,0.05800000000000004,0.6940262199971474,19,-0.35999999999999993,-0.08999999999999998,-1.0,3,
1,StrikeCross,300,True,,2,0.5300000000000004,0.053000000000000026,0.6051228989720435,19,-0.32,-0.08,-1.0,3,
1,StrikeCross,300,True,,5,0.7100000000000002,0.07100000000000002,0.8626310126220894,19,-0.31,-0.0775,-1.0,3,
1,StrikeCross,600,True,,0,1.6800000000000008,0.16800000000000007,1.325050071903724,44,-0.40999999999999986,-0.10249999999999997,-1.6194026363433969,9,
1,StrikeCross,600,True,,2,1.7300000000000006,0.17300000000000007,1.3606122250811823,44,-0.38999999999999996,-0.09749999999999999,-1.7042650657646368,9,
1,StrikeCross,600,True,,5,1.6800000000000006,0.16800000000000004,1.4153953349039812,44,-0.36999999999999994,-0.09249999999999999,-1.7207751309190917,9,
1,LatencyCapture,900,,15.0,0,0.12000000000000052,0.012000000000000052,0.4803844614152633,18,-0.2099999999999999,-0.05249999999999998,-1.728136563452469,2,3.0
1,LatencyCapture,900,,15.0,2,0.07000000000000045,0.007000000000000045,0.27619627054881857,18,-0.13999999999999996,-0.03499999999999999,-1.697749375254331,2,3.0
1,LatencyCapture,900,,15.0,5,0.04000000000000048,0.004000000000000048,0.15888814239971466,18,-0.07999999999999996,-0.01999999999999999,-1.4142135623730943,2,3.0
1,LatencyCapture,900,,15.0,0,0.27000000000000013,0.027000000000000014,1.4055638569974551,6,0.0,0.0,0.0,0,5.0
1,LatencyCapture,900,,15.0,2,0.29000000000000015,0.029000000000000015,1.472884757843675,6,0.0,0.0,0.0,0,5.0
1,LatencyCapture,900,,15.0,5,0.20000000000000012,0.02000000000000001,1.4638501094227996,6,0.0,0.0,0.0,0,5.0
1,LatencyCapture,900,,15.0,0,0.17000000000000004,0.017000000000000005,1.0000000000000002,2,0.0,0.0,0.0,0,10.0
1,LatencyCapture,900,,15.0,2,0.17000000000000004,0.017000000000000005,1.0000000000000002,2,0.0,0.0,0.0,0,10.0
1,LatencyCapture,900,,15.0,5,0.17000000000000004,0.017000000000000005,1.0000000000000002,2,0.0,0.0,0.0,0,10.0
2,StrikeCross,120,True,,0,-0.35999999999999993,-0.03599999999999999,-0.9999999999999998,3,-0.14999999999999997,-0.03749999999999999,-1.4456082739572798,8,
2,StrikeCross,120,True,,2,-0.32,-0.032,-1.0,3,-0.17999999999999994,-0.044999999999999984,-1.36196983522436,8,
2,StrikeCross,120,True,,5,-0.31,-0.031,-0.9999999999999999,3,-0.14999999999999997,-0.03749999999999999,-1.4456082739572798,8,
2,StrikeCross,300,True,,0,0.19000000000000045,0.019000000000000045,0.20314563174365527,12,0.19,0.0475,0.5393463080134766,9,
2,StrikeCross,300,True,,2,0.20000000000000034,0.020000000000000035,0.2099391264787027,12,0.16000000000000003,0.04000000000000001,0.43133109281375387,9,
2,StrikeCross,300,True,,5,0.20000000000000023,0.020000000000000025,0.22482793195919443,12,0.27999999999999997,0.06999999999999999,0.6376825261439878,9,
2,StrikeCross,600,True,,0,0.7300000000000006,0.07300000000000006,0.5889288897820049,25,0.8500000000000002,0.21250000000000005,1.5799547632807687,22,
2,StrikeCross,600,True,,2,0.7400000000000007,0.07400000000000007,0.5979853569394499,25,0.7500000000000002,0.18750000000000006,1.6305632189224644,22,
2,StrikeCross,600,True,,5,0.7200000000000004,0.07200000000000004,0.6237566437685873,25,0.9500000000000002,0.23750000000000004,1.7005003315975968,22,
2,LatencyCapture,900,,15.0,0,0.050000000000000544,0.005000000000000051,0.19229188987598936,16,-0.04999999999999993,-0.012499999999999983,-1.0,3,3.0
2,LatencyCapture,900,,15.0,2,0.11000000000000038,0.011000000000000041,0.534697869360897,16,-0.09999999999999998,-0.024999999999999994,-1.6666666666666665,3,3.0
2,LatencyCapture,900,,15.0,5,0.09000000000000047,0.009000000000000046,0.4751489147348862,16,-0.09999999999999998,-0.024999999999999994,-1.7320508075688774,3,3.0
2,LatencyCapture,900,,15.0,0,0.27000000000000013,0.027000000000000014,1.4055638569974551,6,0.0,0.0,0.0,0,5.0
2,LatencyCapture,900,,15.0,2,0.29000000000000015,0.029000000000000015,1.472884757843675,6,0.0,0.0,0.0,0,5.0
2,LatencyCapture,900,,15.0,5,0.20000000000000012,0.02000000000000001,1.4638501094227996,6,0.0,0.0,0.0,0,5.0
2,LatencyCapture,900,,15.0,0,0.17000000000000004,0.017000000000000005,1.0000000000000002,2,0.0,0.0,0.0,0,10.0
2,LatencyCapture,900,,15.0,2,0.17000000000000004,0.017000000000000005,1.0000000000000002,2,0.0,0.0,0.0,0,10.0
2,LatencyCapture,900,,15.0,5,0.17000000000000004,0.017000000000000005,1.0000000000000002,2,0.0,0.0,0.0,0,10.0
