strategy,total_latency_s,n_trades,total_pnl,mean_pnl_per_market,t_stat,hit_rate_trade
Strategy_A,0.0,120,12.448,0.3457777777777778,1.0934549652667698,0.625
Strategy_A,0.5,120,12.448,0.3457777777777778,1.0934549652667698,0.625
Strategy_A,1.0,120,6.718000000000002,0.18661111111111117,0.627588039800458,0.575
Strategy_A,2.0,120,5.5980000000000025,0.15550000000000003,0.534464114916719,0.5416666666666666
Strategy_A,5.0,120,6.677999999999999,0.18550000000000008,0.6303421969030224,0.55
Strategy_B,0.0,43,3.1590000000000003,0.08775000000000001,3.086096564352086,0.6744186046511628
Strategy_B,0.5,43,3.1590000000000003,0.08775000000000001,3.086096564352086,0.6744186046511628
Strategy_B,1.0,43,3.0989999999999998,0.08608333333333333,2.9832520916879135,0.6744186046511628
Strategy_B,2.0,43,3.029,0.08413888888888889,2.861800350544839,0.6511627906976745
Strategy_B,5.0,43,3.1479999999999997,0.08744444444444444,2.936324509033196,0.6511627906976745
Strategy_C,0.0,128,11.088000000000003,0.308,1.0177330515019973,0.5703125
Strategy_C,0.5,128,11.088000000000003,0.308,1.0177330515019973,0.5703125
Strategy_C,1.0,128,6.498000000000004,0.18050000000000005,0.6046990098846778,0.5390625
Strategy_C,2.0,128,5.748000000000002,0.15966666666666673,0.5400232882257548,0.515625
Strategy_C,5.0,128,5.948000000000003,0.1652222222222223,0.5509059882001085,0.515625
