market_id,total_pnl,n_trades,mean_pnl
20260106_0830_3215,0.71,3,0.2367
20260106_1115_3235,0.46,3,0.1533
20260106_0515_3225,0.36,1,0.36
20260106_0700_3239,0.27,4,0.0675
20260106_0645_3250,0.27,4,0.0675
20260106_0415_3232,0.249,4,0.0623
20260106_0745_3216,0.22,2,0.11
20260106_0845_3217,0.2,1,0.2
20260106_0945_3221,0.13,2,0.065
20260106_0900_3217,0.12,4,0.03
20260106_0730_3218,0.11,2,0.055
20260106_0615_3222,0.1,1,0.1
20260106_0545_3217,0.09,1,0.09
20260106_0530_3224,0.06,4,0.015
20260106_0600_3220,0.06,1,0.06
20260106_0800_3220,0.04,3,0.0133
20260106_0815_3220,-0.29,3,-0.0967
